#separator:Semicolon
#html:false
#tags column:3
two days ago;два дня назад;w01_d001
last weekend;на прошлых выходных;w01_d001
the day before yesterday;позавчера;w01_d001
I went there by plane;Я полетел туда на самолёте;w01_d001
The flight was delayed for two hours;Рейс задержали на два часа;w01_d001
I arrived at four in the morning;Я прибыл в четыре утра;w01_d001
I got there on foot;Я добрался туда пешком;w01_d001
I spent the whole day walking;Я провёл весь день на ногах;w01_d001
It took me three hours;У меня это заняло три часа;w01_d001
I came back the same day;Я вернулся в тот же день;w01_d001
I went (go);я пошёл, поехал;w01_d002
I came back (come);я вернулся;w01_d002
He drove me to the mountains (drive);Он отвёз меня в горы;w01_d002
I took a photo (take);Я сделал фото;w01_d002
I got tired (get);Я устал;w01_d002
I saw an old village (see);Я увидел старую деревню;w01_d002
We flew to Moscow (fly);Мы полетели в Москву;w01_d002
I slept in the car (sleep);Я поспал в машине;w01_d002
I bought a spray (buy);Я купил спрей;w01_d002
I felt terrible (feel);Я чувствовал себя ужасно;w01_d002
a delay;задержка;w01_d003
a connection;стыковка, пересадка;w01_d003
the departure gate;выход на посадку;w01_d003
a sight;достопримечательность;w01_d003
a landmark;известная достопримечательность;w01_d003
a viewpoint;смотровая площадка;w01_d003
a waterfall;водопад;w01_d003
an ancient village;древняя деревня;w01_d003
a tour guide;гид;w01_d003
a local driver;местный водитель;w01_d003
First of all, ...;Прежде всего ...;w01_d005
After that, ...;После этого ...;w01_d005
In the end, ...;В итоге ...;w01_d005
Luckily, ...;К счастью ...;w01_d005
Unfortunately, ...;К сожалению ...;w01_d005
It turned out that ...;Оказалось, что ...;w01_d005
The best part was ...;Лучшее было ...;w01_d005
The worst part was ...;Худшее было ...;w01_d005
All in all, it was worth it;В целом, оно того стоило;w01_d005
I'd go again;Я бы поехал ещё раз;w01_d005
I had a pretty ordinary day;У меня был вполне обычный день;w01_d006
Nothing much happened;Ничего особенного не случилось;w01_d006
Have you ever been to ...?;Ты когда-нибудь был в ...?;w02_d008
I've been to Dagestan;Я бывал в Дагестане;w02_d008
I've never tried it;Я никогда это не пробовал;w02_d008
I've already done it;Я это уже сделал;w02_d008
I haven't done it yet;Я ещё этого не сделал;w02_d008
I've just come back;Я только что вернулся;w02_d008
I went there in June;Я ездил туда в июне;w02_d008
It was the first time I ...;Это был первый раз, когда я ...;w02_d008
so far;пока что, на данный момент;w02_d008
once or twice;раз или два;w02_d008
I've been (be);я бывал;w02_d009
I've done (do);я сделал;w02_d009
I've seen (see);я видел;w02_d009
I've taken (take);я взял, сделал (фото);w02_d009
She's gone home (go);Она ушла домой;w02_d009
I've eaten (eat);я поел;w02_d009
He has driven (drive);он водил;w02_d009
I've flown (fly);я летал;w02_d009
I've written (write);я написал;w02_d009
I've met (meet);я встречал;w02_d009
an experience;опыт, впечатление;w02_d010
a challenge;вызов, трудность;w02_d010
I managed to ...;Мне удалось ...;w02_d010
I gave up;Я сдался;w02_d010
I achieved a goal;Я достиг цели;w02_d010
for the first time;впервые;w02_d010
a memorable trip;запоминающаяся поездка;w02_d010
It was worth it;Это того стоило;w02_d010
I regret nothing;Я ни о чём не жалею;w02_d010
I'm proud of it;Я этим горжусь;w02_d010
I've lost my keys. — I lost them yesterday;Я потерял ключи. — Я потерял их вчера;w02_d012
Have you seen this film? — When did you see it?;Ты видел этот фильм? — Когда ты его смотрел?;w02_d012
I've finished the work;Я закончил работу (результат);w02_d012
I finished at six;Я закончил в шесть;w02_d012
I've known him for years;Я знаю его много лет;w02_d012
I met him in 2020;Я познакомился с ним в 2020;w02_d012
I've had breakfast;Я уже позавтракал;w02_d012
I had breakfast at eight;Я позавтракал в восемь;w02_d012
Have you decided yet?;Ты уже решил?;w02_d012
I decided last night;Я решил вчера вечером;w02_d012
I've had a productive day;У меня был продуктивный день;w02_d013
I got a lot done today;Я много успел сегодня;w02_d013
While I was waiting, the flight was cancelled;Пока я ждал, рейс отменили;w03_d015
When I got there, it was raining;Когда я приехал, шёл дождь;w03_d015
I was sleeping when the driver called;Я спал, когда позвонил водитель;w03_d015
I climbed the mountain in two hours;Я поднялся на гору за два часа;w03_d015
I was climbing for two hours;Я поднимался два часа (процесс);w03_d015
Suddenly, ...;Внезапно ...;w03_d015
At that moment, ...;В тот момент ...;w03_d015
in the middle of the night;посреди ночи;w03_d015
by the time ...;к тому времени как ...;w03_d015
as soon as ...;как только ...;w03_d015
I left home at six (leave);Я вышел из дома в шесть;w03_d016
I lost my ticket (lose);Я потерял билет;w03_d016
I found it later (find);Потом я его нашёл;w03_d016
I forgot my charger (forget);Я забыл зарядку;w03_d016
The screen broke (break);Экран разбился;w03_d016
I fell asleep (fall);Я заснул;w03_d016
I ran to the gate (run);Я побежал к выходу;w03_d016
I stood in line (stand);Я стоял в очереди;w03_d016
I sat down (sit);Я сел;w03_d016
